"","YYYY","MM_DD","ATMP"
"213",1986,"4-15",2.5
"214",1986,"4-16",2
"215",1986,"4-17",3.5
"216",1986,"4-18",0.7
"217",1986,"4-19",-0.2
"218",1986,"4-20",-0.8
"219",1986,"4-21",0.8
"220",1986,"4-22",3.1
"221",1986,"4-23",1.8
"222",1986,"4-24",0.4
"223",1986,"4-25",-0.8
"224",1986,"4-26",3.1
"225",1986,"4-27",3.5
"226",1986,"4-28",3.5
"227",1986,"4-29",2.7
"228",1986,"4-30",3.6
"229",1986,"5-1",3.4
"230",1986,"5-2",2.9
"231",1986,"5-3",2.2
"232",1986,"5-4",2.1
"233",1986,"5-5",3.7
"234",1986,"5-6",3.4
"235",1986,"5-7",3.2
"236",1986,"5-8",3.5
"237",1986,"5-9",4
"238",1986,"5-10",3.8
"239",1986,"5-11",3.7
"240",1986,"5-12",3.5
"241",1986,"5-13",2.5
"242",1986,"5-14",1.8
"243",1986,"5-15",3.3
"244",1986,"5-16",2.6
"245",1986,"5-17",2
"246",1986,"5-18",3
"247",1986,"5-19",2.9
"248",1986,"5-20",3.6
"249",1986,"5-21",3.7
"250",1986,"5-22",3.4
"251",1986,"5-23",2.2
"252",1986,"5-24",2.2
"253",1986,"5-25",1.5
"254",1986,"5-26",2
"255",1986,"5-27",2.5
"256",1986,"5-28",3.5
"257",1986,"5-29",4
"258",1986,"5-30",3.5
"259",1986,"5-31",3.7
"260",1986,"6-1",3.7
"261",1986,"6-2",3.7
"262",1986,"6-3",3.7
"263",1986,"6-4",3.4
"264",1986,"6-5",3.1
"265",1986,"6-6",4
"266",1986,"6-7",4.7
"267",1986,"6-8",3.8
"268",1986,"6-9",5
"269",1986,"6-10",5.1
"270",1986,"6-11",5.4
"271",1986,"6-12",5.4
"272",1986,"6-13",4.8
"273",1986,"6-14",5.7
"274",1986,"6-15",6.3
"275",1986,"6-16",6.1
"276",1986,"6-17",5.3
"277",1986,"6-18",5.2
"278",1986,"6-19",5.4
"279",1986,"6-20",5.8
"280",1986,"6-21",5.2
"281",1986,"6-22",5.5
"282",1986,"6-23",6
"283",1986,"6-24",6.2
"284",1986,"6-25",6.5
"285",1986,"6-26",5.9
"286",1986,"6-27",5.3
"287",1986,"6-28",6.8
"288",1986,"6-29",6.3
"289",1986,"6-30",6.4
"290",1986,"7-1",6.2
"291",1986,"7-2",6.1
"292",1986,"7-3",7.8
"293",1986,"7-4",7.2
"294",1986,"7-5",6.8
"295",1986,"7-6",7.1
"296",1986,"7-7",6.9
"297",1986,"7-8",7.3
"298",1986,"7-9",7.2
"299",1986,"7-10",6.8
"300",1986,"7-11",7.8
"301",1986,"7-12",8.1
"302",1986,"7-13",6.1
"303",1986,"7-14",7.5
"304",1986,"7-15",7.9
"305",1986,"7-16",7.8
"306",1986,"7-17",8.3
"307",1986,"7-18",9.4
"308",1986,"7-19",8.1
"309",1986,"7-20",7.6
"310",1986,"7-21",7.8
"311",1986,"7-22",6.7
"312",1986,"7-23",6.1
"313",1986,"7-24",7
"314",1986,"7-25",7.6
"315",1986,"7-26",9
"316",1986,"7-27",7.3
"317",1986,"7-28",8.7
"318",1986,"7-29",7.6
"319",1986,"7-30",8.9
"320",1986,"7-31",8.5
"321",1986,"8-1",7.6
"322",1986,"8-2",7.6
"323",1986,"8-3",7.7
"324",1986,"8-4",7.6
"325",1986,"8-5",8.2
"326",1986,"8-6",8.2
"327",1986,"8-7",7.8
"328",1986,"8-8",8.1
"329",1986,"8-9",8.3
"330",1986,"8-10",8.2
"331",1986,"8-11",8.6
"332",1986,"8-12",8.9
"333",1986,"8-13",9.5
"334",1986,"8-14",9.4
"335",1986,"8-15",9
"336",1986,"8-16",9.2
"337",1986,"8-17",9.2
"338",1986,"8-18",8.4
"339",1986,"8-19",9.7
"340",1986,"8-20",10.4
"341",1986,"8-21",10.1
"342",1986,"8-22",9.9
"343",1986,"8-23",9.3
"344",1986,"8-24",8.8
"345",1986,"8-25",7.6
"346",1986,"8-26",8.6
"347",1986,"8-27",7.7
"348",1986,"8-28",7.6
"349",1986,"8-29",7.1
"350",1986,"8-30",8.5
"351",1986,"8-31",9
"352",1986,"9-1",7.2
"353",1986,"9-2",8.2
"354",1986,"9-3",9.1
"355",1986,"9-4",8.8
"356",1986,"9-5",5.9
"357",1986,"9-6",6.5
"358",1986,"9-7",8.1
"359",1986,"9-8",7.6
"360",1986,"9-9",9.2
"361",1986,"9-10",9
"362",1986,"9-11",7.7
"363",1986,"9-12",8.8
"364",1986,"9-13",8.2
"365",1986,"9-14",8.6
"366",1986,"9-15",8.9
"367",1986,"9-16",8.5
"368",1986,"9-17",7.7
"369",1986,"9-18",7.7
"370",1986,"9-19",7.1
"371",1986,"9-20",7.3
"372",1986,"9-21",7.8
"373",1986,"9-22",6.4
"374",1986,"9-23",7.2
"375",1986,"9-24",8
"376",1986,"9-25",7
"377",1986,"9-26",7.6
"378",1986,"9-27",6.7
"379",1986,"9-28",6.2
"380",1986,"9-29",7.1
"381",1986,"9-30",5.9
"382",1986,"10-1",6.8
"383",1986,"10-2",6.3
"384",1986,"10-3",4.4
"385",1986,"10-4",5.2
"386",1986,"10-5",5.8
"387",1986,"10-6",6.5
"388",1986,"10-7",6.3
"389",1986,"10-8",4.7
"390",1986,"10-9",4.3
"391",1986,"10-10",3.2
"392",1986,"10-11",3.8
"393",1986,"10-12",3.3
"394",1986,"10-13",4
"395",1986,"10-14",6.1
"396",1986,"10-15",4.3
"397",1986,"10-16",3.6
"398",1986,"10-17",2
"399",1986,"10-18",5.4
"400",1986,"10-19",4.9
"401",1986,"10-20",6
"402",1986,"10-21",4.6
"403",1986,"10-22",3.4
"404",1986,"10-23",2.2
"405",1986,"10-24",6.7
"406",1986,"10-25",5.6
"407",1986,"10-26",5.7
"408",1986,"10-27",4.6
"409",1986,"10-28",3.5
"410",1986,"10-29",2.3
"411",1986,"10-30",3.6
"412",1986,"10-31",4.7
"413",1986,"11-1",4.7
"414",1986,"11-2",3.5
"415",1986,"11-3",5.3
"416",1986,"11-4",4.4
"417",1986,"11-5",5.1
"418",1986,"11-6",4.6
"419",1986,"11-7",5.2
"420",1986,"11-8",5.5
"421",1986,"11-9",3.9
"422",1986,"11-10",5.7
"423",1986,"11-11",3.8
"424",1986,"11-12",5.6
"425",1986,"11-13",5.5
"426",1986,"11-14",5.4
"427",1986,"11-15",4.3
"428",1986,"11-16",5
"429",1986,"11-17",3.1
"430",1986,"11-18",3.5
"431",1986,"11-19",2.4
"432",1986,"11-20",2.4
"433",1986,"11-21",1.3
"434",1986,"11-22",0.1
"435",1986,"11-23",-1.3
"436",1986,"11-24",-0.6
"437",1986,"11-25",0.8
"438",1986,"11-26",0.8
"439",1986,"11-27",2
"440",1986,"11-28",-0.1
"441",1986,"11-29",0.5
"442",1986,"11-30",1.3
"443",1986,"12-1",1.8
"444",1986,"12-2",2.3
"445",1986,"12-3",3
"446",1986,"12-4",1.7
"447",1986,"12-5",1.1
