"","YYYY","MM_DD","ATMP"
"2535",1993,"4-14",0.4
"2536",1993,"4-15",0.4
"2537",1993,"4-16",0.1
"2538",1993,"4-17",0.4
"2539",1993,"4-18",1.2
"2540",1993,"4-19",-0.8
"2541",1993,"4-20",-0.4
"2542",1993,"4-21",0.5
"2543",1993,"4-22",0.4
"2544",1993,"4-23",1.7
"2545",1993,"4-24",NA
"2546",1993,"4-25",1.3
"2547",1993,"4-26",0.8
"2548",1993,"4-27",-0.7
"2549",1993,"4-28",2.3
"2550",1993,"4-29",2.4
"2551",1993,"4-30",0.1
"2552",1993,"5-1",-0.8
"2553",1993,"5-2",0
"2554",1993,"5-3",0.1
"2555",1993,"5-4",-0.3
"2556",1993,"5-5",-0.6
"2557",1993,"5-6",-0.5
"2558",1993,"5-7",NA
"2559",1993,"5-8",2
"2560",1993,"5-9",2.4
"2561",1993,"5-10",NA
"2562",1993,"5-11",0.4
"2563",1993,"5-12",1.3
"2564",1993,"5-13",2.9
"2565",1993,"5-14",3.5
"2566",1993,"5-15",3.6
"2567",1993,"5-16",3.1
"2568",1993,"5-17",2.7
"2569",1993,"5-18",NA
"2570",1993,"5-19",2.4
"2571",1993,"5-20",3.1
"2572",1993,"5-21",3.9
"2573",1993,"5-22",3.1
"2574",1993,"5-23",2
"2575",1993,"5-24",3.5
"2576",1993,"5-25",3.2
"2577",1993,"5-26",3.2
"2578",1993,"5-27",NA
"2579",1993,"5-28",4.3
"2580",1993,"5-29",4.7
"2581",1993,"5-30",4.3
"2582",1993,"5-31",4
"2583",1993,"6-1",5.1
"2584",1993,"6-2",3.5
"2585",1993,"6-3",4
"2586",1993,"6-4",4.8
"2587",1993,"6-5",4.4
"2588",1993,"6-6",4.7
"2589",1993,"6-7",5.1
"2590",1993,"6-8",4.7
"2591",1993,"6-9",4.8
"2592",1993,"6-10",4.8
"2593",1993,"6-11",4.4
"2594",1993,"6-12",5.9
"2595",1993,"6-13",6.2
"2596",1993,"6-14",6
"2597",1993,"6-15",5.9
"2598",1993,"6-16",5.8
"2599",1993,"6-17",6.7
"2600",1993,"6-18",7.6
"2601",1993,"6-19",7.8
"2602",1993,"6-21",6.6
"2603",1993,"6-22",4.6
"2604",1993,"6-23",4.4
"2605",1993,"6-24",6.3
"2606",1993,"6-25",7.1
"2607",1993,"6-26",7
"2608",1993,"6-27",5.9
"2609",1993,"6-28",5.9
"2610",1993,"6-29",5.9
"2611",1993,"6-30",5.8
"2612",1993,"7-1",6.4
"2613",1993,"7-2",6.3
"2614",1993,"7-3",7
"2615",1993,"7-4",6
"2616",1993,"7-5",6.3
"2617",1993,"7-6",5.1
"2618",1993,"7-7",6.6
"2619",1993,"7-8",7.1
"2620",1993,"7-9",7.5
"2621",1993,"7-10",7.8
"2622",1993,"7-11",7.5
"2623",1993,"7-12",7.1
"2624",1993,"7-13",7.1
"2625",1993,"7-14",7.1
"2626",1993,"7-15",7.4
"2627",1993,"7-16",8.7
"2628",1993,"7-17",7.8
"2629",1993,"7-18",7.4
"2630",1993,"7-19",8.7
"2631",1993,"7-20",9.5
"2632",1993,"7-21",9.4
"2633",1993,"7-22",9
"2634",1993,"7-23",9.7
"2635",1993,"7-24",7.4
"2636",1993,"7-25",9.5
"2637",1993,"7-26",9.1
"2638",1993,"7-27",9.5
"2639",1993,"7-28",9.8
"2640",1993,"7-29",8.8
"2641",1993,"7-30",8.7
"2642",1993,"7-31",9.5
"2643",1993,"8-1",10.5
"2644",1993,"8-2",8.9
"2645",1993,"8-3",9.8
"2646",1993,"8-4",9.5
"2647",1993,"8-6",9.8
"2648",1993,"8-7",10.3
"2649",1993,"8-8",10.2
"2650",1993,"8-9",9.8
"2651",1993,"8-10",9.5
"2652",1993,"8-11",9.8
"2653",1993,"8-12",9.7
"2654",1993,"8-13",10.1
"2655",1993,"8-14",9.5
"2656",1993,"8-16",10.2
"2657",1993,"8-17",9.5
"2658",1993,"8-18",9.4
"2659",1993,"8-19",7.9
"2660",1993,"8-20",7.9
"2661",1993,"8-21",9.7
"2662",1993,"8-22",9.4
"2663",1993,"8-23",9.5
"2664",1993,"8-25",9
"2665",1993,"8-26",9.7
"2666",1993,"8-27",10.2
"2667",1993,"8-28",9.7
"2668",1993,"8-29",9.7
"2669",1993,"8-30",9.4
"2670",1993,"8-31",9
"2671",1993,"9-1",9.4
"2672",1993,"9-2",9.1
"2673",1993,"9-3",7.9
"2674",1993,"9-4",8.7
"2675",1993,"9-6",7.4
"2676",1993,"9-7",8.3
"2677",1993,"9-8",7.5
"2678",1993,"9-9",8.3
"2679",1993,"9-10",8.3
"2680",1993,"9-11",8.9
"2681",1993,"9-12",9
"2682",1993,"9-13",9
"2683",1993,"9-14",7.6
"2684",1993,"9-15",6.7
"2685",1993,"9-16",7.1
"2686",1993,"9-17",8.3
"2687",1993,"9-18",9
"2688",1993,"9-19",8.2
"2689",1993,"9-20",4.7
"2690",1993,"9-21",7
"2691",1993,"9-22",7.4
"2692",1993,"9-23",7.8
"2693",1993,"9-24",7.4
"2694",1993,"9-25",7
"2695",1993,"9-26",6.3
"2696",1993,"9-27",6.4
"2697",1993,"9-28",6.1
"2698",1993,"9-29",6.6
"2699",1993,"9-30",3.6
"2700",1993,"10-1",3.9
"2701",1993,"10-2",5.5
"2702",1993,"10-3",6.2
"2703",1993,"10-4",7.5
"2704",1993,"10-5",6
"2705",1993,"10-6",5.2
"2706",1993,"10-7",6.3
"2707",1993,"10-8",5.8
"2708",1993,"10-9",6.3
"2709",1993,"10-10",5.9
"2710",1993,"10-11",7.5
"2711",1993,"10-12",7.8
"2712",1993,"10-13",7.5
"2713",1993,"10-14",7.9
"2714",1993,"10-15",6.9
"2715",1993,"10-16",6.6
"2716",1993,"10-17",4.8
"2717",1993,"10-18",4.9
"2718",1993,"10-19",5.2
"2719",1993,"10-20",4.3
"2720",1993,"10-21",2.8
"2721",1993,"10-22",NA
"2722",1993,"10-23",3
"2723",1993,"10-24",2.6
"2724",1993,"10-25",2.2
"2725",1993,"10-26",5.4
"2726",1993,"10-27",6.2
"2727",1993,"10-28",5.3
"2728",1993,"10-29",5.4
"2729",1993,"10-30",4.6
"2730",1993,"10-31",3.8
"2731",1993,"11-1",4
"2732",1993,"11-2",5.9
"2733",1993,"11-3",5.6
"2734",1993,"11-4",5.6
"2735",1993,"11-5",4
"2736",1993,"11-6",4.2
"2737",1993,"11-7",5.9
"2738",1993,"11-8",4.5
"2739",1993,"11-9",4.4
"2740",1993,"11-10",4.1
"2741",1993,"11-11",4.5
"2742",1993,"11-12",3.9
"2743",1993,"11-13",NA
"2744",1993,"11-14",2.7
"2745",1993,"11-15",5.9
"2746",1993,"11-16",5.2
"2747",1993,"11-17",3.9
"2748",1993,"11-18",2.7
"2749",1993,"11-19",3.7
"2750",1993,"11-20",5.6
"2751",1993,"11-21",-0.4
"2752",1993,"11-22",-0.2
"2753",1993,"11-23",0.4
"2754",1993,"11-24",1.2
"2755",1993,"11-25",4.6
"2756",1993,"11-26",3.4
"2757",1993,"11-27",2.6
"2758",1993,"11-28",1.6
"2759",1993,"11-29",0.1
"2760",1993,"11-30",0
"2761",1993,"12-1",0.2
"2762",1993,"12-2",0.4
"2763",1993,"12-3",-2.3
"2764",1993,"12-4",1.2
"2765",1993,"12-5",2.6
"2766",1993,"12-6",0
"2767",1993,"12-7",-1.9
"2768",1993,"12-8",-3.7
"2769",1993,"12-9",-3.6
"2770",1993,"12-10",-3.9
"2771",1993,"12-11",-3.1
"2772",1993,"12-12",-3.4
"2773",1993,"12-13",-0.3
"2774",1993,"12-14",-1.1
"2775",1993,"12-15",-1.6
"2776",1993,"12-16",-2
"2777",1993,"12-17",-0.9
"2778",1993,"12-18",0.4
"2779",1993,"12-19",-0.5
"2780",1993,"12-20",-4
"2781",1993,"12-21",-4.9
"2782",1993,"12-22",-5.2
"2783",1993,"12-23",-3.4
"2784",1993,"12-24",-0.8
"2785",1993,"12-25",-0.4
"2786",1993,"12-26",3.7
"2787",1993,"12-27",0.7
"2788",1993,"12-28",2.6
"2789",1993,"12-29",3.6
"2790",1993,"12-30",3.4
"2791",1993,"12-31",2.7
"2792",1994,"1-1",0.6
"2793",1994,"1-2",1.5
"2794",1994,"1-3",2
"2795",1994,"1-4",0.5
"2796",1994,"1-5",1.3
"2797",1994,"1-6",3.7
"2798",1994,"1-7",3.5
"2799",1994,"1-8",2.2
"2800",1994,"1-9",-3.3
"2801",1994,"1-10",-2.2
"2802",1994,"1-11",-3.7
"2803",1994,"1-12",-4.3
"2804",1994,"1-13",-3.8
"2805",1994,"1-14",-3.5
"2806",1994,"1-15",-2.5
"2807",1994,"1-16",-2.4
"2808",1994,"1-17",-3.8
"2809",1994,"1-18",-1
"2810",1994,"1-19",0.7
"2811",1994,"1-20",1.6
"2812",1994,"1-21",1.2
"2813",1994,"1-22",-1.9
"2814",1994,"1-23",-0.4
"2815",1994,"1-24",-0.5
"2816",1994,"1-25",-2.8
"2817",1994,"1-26",-4.1
"2818",1994,"1-27",-1.4
"2819",1994,"1-28",1.4
"2820",1994,"1-29",2.1
"2821",1994,"1-30",1.8
"2822",1994,"1-31",1.9
"2823",1994,"2-1",2.5
"2824",1994,"2-2",1.4
"2825",1994,"2-3",-0.6
"2826",1994,"2-4",3
"2827",1994,"2-5",3.4
"2828",1994,"2-6",1.2
"2829",1994,"2-7",0.9
"2830",1994,"2-8",0.1
"2831",1994,"2-9",0.9
"2832",1994,"2-10",1.1
"2833",1994,"2-11",-1.8
"2834",1994,"2-12",-0.7
"2835",1994,"2-13",0.5
"2836",1994,"2-14",0.8
"2837",1994,"2-15",0.2
"2838",1994,"2-16",2.5
"2839",1994,"2-17",2.5
"2840",1994,"2-18",1.7
"2841",1994,"2-19",2.2
"2842",1994,"2-20",3.1
"2843",1994,"2-21",2.7
"2844",1994,"2-22",1
"2845",1994,"2-23",-1.1
"2846",1994,"2-24",-0.7
"2847",1994,"2-25",-1.5
"2848",1994,"2-26",-1.9
"2849",1994,"2-27",-1.6
"2850",1994,"2-28",-5.2
"2851",1994,"3-1",-5
"2852",1994,"3-2",-9
"2853",1994,"3-3",NA
"2854",1994,"3-4",-8.5
"2855",1994,"3-5",NA
"2856",1994,"3-6",-5.5
"2857",1994,"3-7",-5.2
"2858",1994,"3-8",-3
"2859",1994,"3-9",-3.4
"2860",1994,"3-10",-5.3
"2861",1994,"3-11",NA
"2862",1994,"3-12",-5.5
"2863",1994,"3-13",-5.1
"2864",1994,"3-14",-0.1
"2865",1994,"3-15",-2.7
"2866",1994,"3-16",-4.1
"2867",1994,"3-17",-0.5
"2868",1994,"3-18",-1.4
"2869",1994,"3-19",-1
"2870",1994,"3-20",-1
"2871",1994,"3-21",0.5
"2872",1994,"3-22",-3
"2873",1994,"3-23",-7.3
"2874",1994,"3-24",-11.3
"2875",1994,"3-25",-7.7
"2876",1994,"3-26",0.4
"2877",1994,"3-27",1.5
"2878",1994,"3-28",-0.3
"2879",1994,"3-29",NA
"2880",1994,"3-30",-1.5
"2881",1994,"3-31",1.1
"2882",1994,"4-1",0.6
"2883",1994,"4-2",0.3
"2884",1994,"4-3",1.2
"2885",1994,"4-4",1.6
"2886",1994,"4-5",1.9
"2887",1994,"4-6",1.7
"2888",1994,"4-7",0.3
"2889",1994,"4-8",-2.2
"2890",1994,"4-9",-3.5
"2891",1994,"4-10",-4.6
"2892",1994,"4-11",-2.5
"2893",1994,"4-12",-2.4
"2894",1994,"4-13",-4.4
"2895",1994,"4-14",-1.2
"2896",1994,"4-15",-0.3
"2897",1994,"4-16",1.6
"2898",1994,"4-17",0.8
"2899",1994,"4-18",-2.2
"2900",1994,"4-19",-3.2
"2901",1994,"4-20",-3.8
"2902",1994,"4-21",-2.6
"2903",1994,"4-22",-2.1
"2904",1994,"4-23",-3.1
"2905",1994,"4-24",-3.4
"2906",1994,"4-25",-3.5
"2907",1994,"4-26",-3.1
"2908",1994,"4-27",0.2
"2909",1994,"4-28",-1.7
"2910",1994,"4-29",-0.8
"2911",1994,"4-30",-0.8
"2912",1994,"5-1",-4.6
"2913",1994,"5-2",-1.9
"2914",1994,"5-3",-2.7
"2915",1994,"5-4",-0.8
"2916",1994,"5-5",-1.2
"2917",1994,"5-6",-0.5
"2918",1994,"5-7",0.5
"2919",1994,"5-8",-0.3
"2920",1994,"5-9",-0.5
"2921",1994,"5-10",-0.9
"2922",1994,"5-11",-0.8
"2923",1994,"5-12",-1
"2924",1994,"5-13",0.9
"2925",1994,"5-14",1.2
"2926",1994,"5-16",1.3
"2927",1994,"5-17",-0.5
"2928",1994,"5-18",0.5
"2929",1994,"5-19",2.3
"2930",1994,"5-20",1.7
"2931",1994,"5-21",1
"2932",1994,"5-22",1.2
"2933",1994,"5-23",1.6
"2934",1994,"5-25",1.2
"2935",1994,"5-26",0.5
"2936",1994,"5-27",1.4
"2937",1994,"5-28",-0.1
"2938",1994,"5-29",3.3
"2939",1994,"5-30",3
"2940",1994,"5-31",2.8
"2941",1994,"6-1",NA
"2942",1994,"6-2",NA
"2943",1994,"6-3",NA
"2944",1994,"6-4",NA
"2945",1994,"6-5",NA
"2946",1994,"6-6",NA
"2947",1994,"6-7",NA
"2948",1994,"6-8",NA
"2949",1994,"6-9",NA
"2950",1994,"6-10",NA
"2951",1994,"6-11",NA
"2952",1994,"6-12",NA
"2953",1994,"6-13",NA
"2954",1994,"6-14",NA
"2955",1994,"6-15",NA
"2956",1994,"6-16",NA
"2957",1994,"6-17",NA
"2958",1994,"6-18",NA
"2959",1994,"6-19",NA
"2960",1994,"6-20",NA
"2961",1994,"6-21",NA
"2962",1994,"6-22",NA
"2963",1994,"6-23",NA
"2964",1994,"6-24",NA
"2965",1994,"6-25",NA
"2966",1994,"6-26",5.3
"2967",1994,"6-27",5.2
"2968",1994,"6-28",5.6
"2969",1994,"6-29",5.1
"2970",1994,"6-30",5.9
"2971",1994,"7-1",5.6
"2972",1994,"7-2",5.6
"2973",1994,"7-3",5.9
"2974",1994,"7-4",5.5
"2975",1994,"7-5",6.2
"2976",1994,"7-6",4
"2977",1994,"7-7",7.8
"2978",1994,"7-8",6.3
"2979",1994,"7-9",6.2
"2980",1994,"7-10",6.3
"2981",1994,"7-11",6.6
"2982",1994,"7-12",6.3
"2983",1994,"7-13",7.1
"2984",1994,"7-14",7.4
"2985",1994,"7-15",7.5
"2986",1994,"7-16",7.5
"2987",1994,"7-17",7.5
"2988",1994,"7-18",7.9
"2989",1994,"7-19",7
"2990",1994,"7-20",7.4
"2991",1994,"7-21",6.3
"2992",1994,"7-22",7.8
"2993",1994,"7-23",7.5
"2994",1994,"7-24",7.4
"2995",1994,"7-25",7.8
"2996",1994,"7-26",7.9
"2997",1994,"7-27",7.5
"2998",1994,"7-28",7.9
"2999",1994,"7-29",7.8
"3000",1994,"7-30",8.2
"3001",1994,"7-31",7.8
"3002",1994,"8-1",8.6
"3003",1994,"8-2",8.3
"3004",1994,"8-3",7.9
"3005",1994,"8-4",7.1
"3006",1994,"8-5",7.3
"3007",1994,"8-6",8.7
"3008",1994,"8-7",8.6
"3009",1994,"8-8",8.7
"3010",1994,"8-9",8.7
"3011",1994,"8-10",9
"3012",1994,"8-11",7.9
"3013",1994,"8-12",7.8
"3014",1994,"8-13",8.6
"3015",1994,"8-14",7.9
"3016",1994,"8-15",9
"3017",1994,"8-16",8.6
"3018",1994,"8-17",8.3
"3019",1994,"8-18",7.3
"3020",1994,"8-19",9
"3021",1994,"8-20",8.7
"3022",1994,"8-21",7.5
"3023",1994,"8-22",7.9
"3024",1994,"8-23",8.9
"3025",1994,"8-24",9.4
"3026",1994,"8-25",9
"3027",1994,"8-26",8.6
"3028",1994,"8-27",7.8
"3029",1994,"8-28",9
"3030",1994,"8-29",9.4
"3031",1994,"8-30",8.7
"3032",1994,"8-31",7.8
"3033",1994,"9-1",7.5
"3034",1994,"9-2",8.2
"3035",1994,"9-3",8.7
"3036",1994,"9-4",7.8
"3037",1994,"9-5",8.7
"3038",1994,"9-6",9.5
"3039",1994,"9-7",7.4
"3040",1994,"9-8",7.1
"3041",1994,"9-9",8.5
"3042",1994,"9-10",7.7
"3043",1994,"9-11",7.4
"3044",1994,"9-12",9
"3045",1994,"9-13",9.1
"3046",1994,"9-14",NA
"3047",1994,"9-16",6
"3048",1994,"9-17",4.2
"3049",1994,"9-18",4.7
"3050",1994,"9-19",5.5
"3051",1994,"9-20",5.8
"3052",1994,"9-21",6.3
"3053",1994,"9-22",5.5
"3054",1994,"9-23",6.3
"3055",1994,"9-24",4.2
"3056",1994,"9-25",6.7
"3057",1994,"9-26",3.6
"3058",1994,"9-27",6.7
"3059",1994,"9-28",7.1
"3060",1994,"9-29",6.7
"3061",1994,"9-30",7.4
"3062",1994,"10-1",5.9
"3063",1994,"10-2",4.4
"3064",1994,"10-3",4.3
"3065",1994,"10-4",4.1
"3066",1994,"10-5",4.7
"3067",1994,"10-6",2.6
"3068",1994,"10-7",0.4
"3069",1994,"10-8",3.1
"3070",1994,"10-9",6
"3071",1994,"10-10",5.2
"3072",1994,"10-11",4.3
"3073",1994,"10-12",3.9
"3074",1994,"10-13",3.6
"3075",1994,"10-14",5.1
"3076",1994,"10-15",5.1
"3077",1994,"10-16",5.2
"3078",1994,"10-17",5.8
"3079",1994,"10-18",6.3
"3080",1994,"10-19",5.9
"3081",1994,"10-20",3.3
"3082",1994,"10-21",5.1
"3083",1994,"10-22",5.9
"3084",1994,"10-23",5.2
"3085",1994,"10-24",2.9
"3086",1994,"10-25",1.8
"3087",1994,"10-26",2.1
"3088",1994,"10-27",3.6
"3089",1994,"10-28",0.2
"3090",1994,"10-29",3.7
"3091",1994,"10-30",4.8
"3092",1994,"10-31",5.5
"3093",1994,"11-1",4.1
"3094",1994,"11-2",2
"3095",1994,"11-3",1.6
"3096",1994,"11-4",2.9
"3097",1994,"11-5",4.9
"3098",1994,"11-7",0.2
"3099",1994,"11-8",6
"3100",1994,"11-9",2.3
"3101",1994,"11-10",1.9
"3102",1994,"11-11",0.1
"3103",1994,"11-12",-0.4
"3104",1994,"11-13",4.3
"3105",1994,"11-14",3.1
"3106",1994,"11-15",0.7
"3107",1994,"11-16",-0.6
"3108",1994,"11-17",-0.3
"3109",1994,"11-18",NA
"3110",1994,"11-19",NA
"3111",1994,"11-20",NA
"3112",1994,"11-21",NA
"3113",1994,"11-22",NA
"3114",1994,"11-23",NA
"3115",1994,"11-24",NA
"3116",1994,"11-25",NA
"3117",1994,"11-26",NA
"3118",1994,"11-28",NA
"3119",1994,"11-29",NA
"3120",1994,"11-30",NA
"3121",1994,"12-1",NA
"3122",1994,"12-2",NA
"3123",1994,"12-3",NA
"3124",1994,"12-4",NA
"3125",1994,"12-5",NA
"3126",1994,"12-6",NA
"3127",1994,"12-7",NA
"3128",1994,"12-8",NA
"3129",1994,"12-9",NA
"3130",1994,"12-10",NA
"3131",1994,"12-11",NA
"3132",1994,"12-12",NA
"3133",1994,"12-13",NA
"3134",1994,"12-14",NA
"3135",1994,"12-15",NA
"3136",1994,"12-16",NA
"3137",1994,"12-17",NA
"3138",1994,"12-18",NA
"3139",1994,"12-19",NA
"3140",1994,"12-20",NA
"3141",1994,"12-22",NA
"3142",1994,"12-23",NA
"3143",1994,"12-24",NA
"3144",1994,"12-25",NA
"3145",1994,"12-26",NA
"3146",1994,"12-27",NA
"3147",1994,"12-28",NA
"3148",1994,"12-29",NA
"3149",1994,"12-30",NA
"3150",1994,"12-31",NA
"3151",1995,"1-1",-1.2
"3152",1995,"1-2",1.2
"3153",1995,"1-3",1.6
"3154",1995,"1-4",1.3
"3155",1995,"1-5",1.2
"3156",1995,"1-6",0.1
"3157",1995,"1-7",-0.4
"3158",1995,"1-8",-0.2
"3159",1995,"1-9",-0.3
"3160",1995,"1-10",-2.7
"3161",1995,"1-11",-4.4
"3162",1995,"1-12",-3.8
"3163",1995,"1-13",-1.9
"3164",1995,"1-14",-6.1
"3165",1995,"1-15",-2.9
"3166",1995,"1-16",-1.3
"3167",1995,"1-17",-5.1
"3168",1995,"1-18",-6.7
"3169",1995,"1-19",-4.8
"3170",1995,"1-20",-4.3
"3171",1995,"1-21",-2.7
"3172",1995,"1-22",-1.3
"3173",1995,"1-23",-1.2
"3174",1995,"1-24",-2.7
"3175",1995,"1-25",-5.3
"3176",1995,"1-26",-2.7
"3177",1995,"1-27",-10.5
"3178",1995,"1-28",-10.5
"3179",1995,"1-29",-7.3
"3180",1995,"1-30",-8.9
"3181",1995,"1-31",-8.6
"3182",1995,"2-1",-8.5
"3183",1995,"2-2",-7.7
"3184",1995,"2-3",-8.2
"3185",1995,"2-4",-6
"3186",1995,"2-5",-0.9
"3187",1995,"2-6",-0.6
"3188",1995,"2-7",-0.1
"3189",1995,"2-8",2.3
"3190",1995,"2-9",NA
"3191",1995,"2-10",NA
"3192",1995,"2-11",NA
"3193",1995,"2-12",NA
"3194",1995,"2-13",NA
"3195",1995,"2-14",NA
"3196",1995,"2-15",NA
"3197",1995,"2-16",NA
"3198",1995,"2-17",NA
"3199",1995,"2-18",NA
"3200",1995,"2-19",NA
"3201",1995,"2-20",NA
"3202",1995,"2-21",NA
"3203",1995,"2-22",NA
"3204",1995,"2-23",NA
"3205",1995,"2-24",NA
"3206",1995,"2-25",NA
"3207",1995,"2-26",NA
"3208",1995,"2-27",NA
"3209",1995,"2-28",NA
"3210",1995,"3-1",NA
"3211",1995,"3-2",NA
"3212",1995,"3-3",NA
"3213",1995,"3-4",NA
"3214",1995,"3-5",NA
"3215",1995,"3-6",NA
"3216",1995,"3-7",NA
"3217",1995,"3-8",NA
"3218",1995,"3-9",NA
"3219",1995,"3-10",NA
"3220",1995,"3-11",NA
"3221",1995,"3-12",NA
"3222",1995,"3-13",NA
"3223",1995,"3-14",NA
"3224",1995,"3-15",NA
"3225",1995,"3-16",NA
"3226",1995,"3-17",NA
"3227",1995,"3-18",NA
"3228",1995,"3-19",NA
"3229",1995,"3-20",NA
"3230",1995,"3-21",NA
"3231",1995,"3-22",NA
"3232",1995,"3-24",NA
"3233",1995,"3-25",NA
"3234",1995,"3-26",NA
"3235",1995,"3-27",NA
"3236",1995,"3-28",NA
"3237",1995,"3-29",NA
"3238",1995,"3-30",NA
"3239",1995,"3-31",NA
"3240",1995,"4-1",-3.4
"3241",1995,"4-2",-1.8
"3242",1995,"4-3",-1.4
"3243",1995,"4-4",1.1
"3244",1995,"4-5",0.6
"3245",1995,"4-6",0.5
"3246",1995,"4-7",-4.5
"3247",1995,"4-8",-4.7
"3248",1995,"4-9",-3.3
"3249",1995,"4-10",-3.5
"3250",1995,"4-11",-2.3
"3251",1995,"4-12",0.3
"3252",1995,"4-13",1.2
"3253",1995,"4-14",1.6
"3254",1995,"4-15",0.2
"3255",1995,"4-16",-1.7
"3256",1995,"4-17",0.9
"3257",1995,"4-18",-2
"3258",1995,"4-19",-2.1
"3259",1995,"4-20",-1.2
"3260",1995,"4-21",0.9
"3261",1995,"4-22",1.6
"3262",1995,"4-23",1.6
"3263",1995,"4-24",1
"3264",1995,"4-25",1.2
"3265",1995,"4-26",1.4
"3266",1995,"4-27",1.9
"3267",1995,"4-28",3.5
"3268",1995,"4-29",0.7
"3269",1995,"4-30",0.5
"3270",1995,"5-1",0.2
"3271",1995,"5-2",0.7
"3272",1995,"5-3",0.5
"3273",1995,"5-4",-0.2
"3274",1995,"5-5",0.7
"3275",1995,"5-6",0.8
"3276",1995,"5-7",-0.1
"3277",1995,"5-8",1.5
"3278",1995,"5-9",2.3
"3279",1995,"5-10",3.6
"3280",1995,"5-11",1.9
"3281",1995,"5-12",1.4
"3282",1995,"5-13",3.1
"3283",1995,"5-14",2.7
"3284",1995,"5-15",2.3
"3285",1995,"5-16",2.4
"3286",1995,"5-17",3
"3287",1995,"5-18",3.4
"3288",1995,"5-19",3
"3289",1995,"5-20",2.2
"3290",1995,"5-21",3.5
"3291",1995,"5-22",2.5
"3292",1995,"5-23",2.5
"3293",1995,"5-24",2.5
"3294",1995,"5-25",2.4
"3295",1995,"5-26",2.6
"3296",1995,"5-27",2.3
"3297",1995,"5-28",4.1
"3298",1995,"5-29",3.9
"3299",1995,"5-30",4
"3300",1995,"5-31",2.2
"3301",1995,"6-1",2.1
"3302",1995,"6-2",3.2
"3303",1995,"6-3",2
"3304",1995,"6-4",2.1
"3305",1995,"6-5",2.7
"3306",1995,"6-6",2.6
"3307",1995,"6-7",3
"3308",1995,"6-8",2.7
"3309",1995,"6-9",4.8
"3310",1995,"6-10",4.8
"3311",1995,"6-11",4.9
"3312",1995,"6-12",4.6
"3313",1995,"6-13",3.2
"3314",1995,"6-14",4.3
"3315",1995,"6-15",4.4
"3316",1995,"6-16",3.3
"3317",1995,"6-17",5.4
"3318",1995,"6-18",6.6
"3319",1995,"6-19",5.2
"3320",1995,"6-20",4.1
"3321",1995,"6-21",4.1
"3322",1995,"6-22",4.8
"3323",1995,"6-23",4.6
"3324",1995,"6-24",5.6
"3325",1995,"6-25",6.3
"3326",1995,"6-26",6.6
"3327",1995,"6-27",6.3
"3328",1995,"6-28",6.3
"3329",1995,"6-29",5.9
"3330",1995,"6-30",6.7
"3331",1995,"7-3",7
"3332",1995,"7-4",6.8
"3333",1995,"7-5",7.2
"3334",1995,"7-6",7.1
"3335",1995,"7-7",6.8
"3336",1995,"7-8",7.1
"3337",1995,"7-9",7.3
"3338",1995,"7-10",8.2
"3339",1995,"7-11",7.5
"3340",1995,"7-12",6.9
"3341",1995,"7-13",7.5
"3342",1995,"7-14",7.8
"3343",1995,"7-15",7.9
"3344",1995,"7-16",7.5
"3345",1995,"7-17",5.9
"3346",1995,"7-18",7
"3347",1995,"7-19",7
"3348",1995,"7-20",8
"3349",1995,"7-21",8
"3350",1995,"7-22",8.8
"3351",1995,"7-23",8.4
"3352",1995,"7-24",8.8
"3353",1995,"7-25",8.3
"3354",1995,"7-26",8.7
"3355",1995,"7-27",8.9
"3356",1995,"7-28",8.1
"3357",1995,"7-29",8.4
"3358",1995,"7-30",8.6
"3359",1995,"7-31",8.1
"3360",1995,"8-1",8.4
"3361",1995,"8-2",9.5
"3362",1995,"8-3",9.6
"3363",1995,"8-4",10.2
"3364",1995,"8-5",8.3
"3365",1995,"8-6",9
"3366",1995,"8-7",9.2
"3367",1995,"8-8",8.5
"3368",1995,"8-9",8.7
"3369",1995,"8-10",8.9
"3370",1995,"8-11",8.9
"3371",1995,"8-12",9.8
"3372",1995,"8-13",7.9
"3373",1995,"8-14",7.8
"3374",1995,"8-15",10.5
"3375",1995,"8-16",10.2
"3376",1995,"8-17",10.1
"3377",1995,"8-18",9.6
"3378",1995,"8-19",10
"3379",1995,"8-20",11.4
"3380",1995,"8-21",10.7
"3381",1995,"8-22",8.9
"3382",1995,"8-23",10.9
"3383",1995,"8-24",10.4
"3384",1995,"8-25",10.5
"3385",1995,"8-26",10
"3386",1995,"8-27",10.5
"3387",1995,"8-28",10.6
"3388",1995,"8-29",10
"3389",1995,"8-30",10.3
"3390",1995,"8-31",9.2
"3391",1995,"9-1",9.3
"3392",1995,"9-2",9.8
"3393",1995,"9-3",8.9
"3394",1995,"9-4",8.9
"3395",1995,"9-5",9.6
"3396",1995,"9-6",9.2
"3397",1995,"9-7",9.3
"3398",1995,"9-8",8.4
"3399",1995,"9-9",9.2
"3400",1995,"9-10",8.8
"3401",1995,"9-11",8.6
"3402",1995,"9-12",8.3
"3403",1995,"9-13",8.8
"3404",1995,"9-14",9.4
"3405",1995,"9-15",9.1
"3406",1995,"9-16",9
"3407",1995,"9-17",9.3
"3408",1995,"9-18",8.4
"3409",1995,"9-19",8.8
"3410",1995,"9-20",8.7
"3411",1995,"9-21",8
"3412",1995,"9-22",8.8
"3413",1995,"9-23",8
"3414",1995,"9-24",8.6
