"","YYYY","MM_DD","ATMP","WTMP"
"171",1986,"3-4",1.6,3
"172",1986,"3-5",0.9,3.1
"173",1986,"3-6",-1.1,3
"174",1986,"3-7",0.8,3.1
"175",1986,"3-8",0.7,3
"176",1986,"3-9",-6.1,3
"177",1986,"3-10",-2,3
"178",1986,"3-11",-3.5,2.8
"179",1986,"3-12",-2.2,2.7
"180",1986,"3-13",-2.5,2.7
"181",1986,"3-14",-1.4,2.8
"182",1986,"3-15",-0.1,2.8
"183",1986,"3-16",1.8,2.8
"184",1986,"3-17",1.4,2.9
"185",1986,"3-18",0,3
"186",1986,"3-19",1.9,3.2
"187",1986,"3-20",2.2,3.1
"188",1986,"3-21",2.5,3.3
"189",1986,"3-22",2.8,3.5
"190",1986,"3-23",2.5,3.3
"191",1986,"3-24",0,3.3
"192",1986,"3-25",-1.6,3.3
"193",1986,"3-26",-1,3.2
"194",1986,"3-27",-5.1,3.1
"195",1986,"3-28",-5.9,3.4
"196",1986,"3-29",-3.6,2.9
"197",1986,"3-30",1.1,3.1
"198",1986,"3-31",0.9,3.2
"199",1986,"4-1",0.4,3.3
"200",1986,"4-2",-1.1,2.9
"201",1986,"4-3",-0.1,3
"202",1986,"4-4",-2.8,3
"203",1986,"4-5",-6,3
"204",1986,"4-6",-2,3.3
"205",1986,"4-7",2.3,3.4
"206",1986,"4-8",3.3,3.2
"207",1986,"4-9",3.8,3.1
"208",1986,"4-10",3.6,3.2
"209",1986,"4-11",3.5,3.2
"210",1986,"4-12",2.9,3.2
"211",1986,"4-13",3.5,3.4
"212",1986,"4-14",3,3.2
"213",1986,"4-15",2.5,3.4
"214",1986,"4-16",2,3.3
"215",1986,"4-17",3.5,3.4
"216",1986,"4-18",0.7,3.1
"217",1986,"4-19",-0.2,3.1
"218",1986,"4-20",-0.8,3.2
"219",1986,"4-21",0.8,3.3
"220",1986,"4-22",3.1,3.3
"221",1986,"4-23",1.8,3.4
"222",1986,"4-24",0.4,3.3
"223",1986,"4-25",-0.8,3.2
"224",1986,"4-26",3.1,3.2
"225",1986,"4-27",3.5,3.3
"226",1986,"4-28",3.5,3.3
"227",1986,"4-29",2.7,3.4
"228",1986,"4-30",3.6,3.3
"229",1986,"5-1",3.4,3.3
"230",1986,"5-2",2.9,3.5
"231",1986,"5-3",2.2,3.5
"232",1986,"5-4",2.1,3.5
"233",1986,"5-5",3.7,3.6
"234",1986,"5-6",3.4,3.6
"235",1986,"5-7",3.2,3.7
"236",1986,"5-8",3.5,3.7
"237",1986,"5-9",4,3.6
"238",1986,"5-10",3.8,3.6
"239",1986,"5-11",3.7,4
"240",1986,"5-12",3.5,3.7
"241",1986,"5-13",2.5,3.3
"242",1986,"5-14",1.8,3.4
"243",1986,"5-15",3.3,3.5
"244",1986,"5-16",2.6,3.7
"245",1986,"5-17",2,3.6
"246",1986,"5-18",3,3.8
"247",1986,"5-19",2.9,3.9
"248",1986,"5-20",3.6,3.6
"249",1986,"5-21",3.7,3.5
"250",1986,"5-22",3.4,3.6
"251",1986,"5-23",2.2,3.9
"252",1986,"5-24",2.2,3.9
"253",1986,"5-25",1.5,3.9
"254",1986,"5-26",2,4.1
"255",1986,"5-27",2.5,4.6
"256",1986,"5-28",3.5,3.7
"257",1986,"5-29",4,3.7
"258",1986,"5-30",3.5,4.3
"259",1986,"5-31",3.7,4
"260",1986,"6-1",3.7,4.1
"261",1986,"6-2",3.7,4.1
"262",1986,"6-3",3.7,4.2
"263",1986,"6-4",3.4,4.2
"264",1986,"6-5",3.1,4.7
"265",1986,"6-6",4,4.4
"266",1986,"6-7",4.7,4.8
"267",1986,"6-8",3.8,5.2
"268",1986,"6-9",5,5.7
"269",1986,"6-10",5.1,5.5
"270",1986,"6-11",5.4,5.7
"271",1986,"6-12",5.4,5.8
"272",1986,"6-13",4.8,5.8
"273",1986,"6-14",5.7,5.8
"274",1986,"6-15",6.3,6.5
"275",1986,"6-16",6.1,6.5
"276",1986,"6-17",5.3,6.1
"277",1986,"6-18",5.2,6.1
"278",1986,"6-19",5.4,5.7
"279",1986,"6-20",5.8,5.9
"280",1986,"6-21",5.2,6.2
"281",1986,"6-22",5.5,6.4
"282",1986,"6-23",6,6.8
"283",1986,"6-24",6.2,6.6
"284",1986,"6-25",6.5,7.1
"285",1986,"6-26",5.9,6.8
"286",1986,"6-27",5.3,6.9
"287",1986,"6-28",6.8,7.3
"288",1986,"6-29",6.3,7.1
"289",1986,"6-30",6.4,7
"290",1986,"7-1",6.2,7
"291",1986,"7-2",6.1,7.1
"292",1986,"7-3",7.8,7.1
"293",1986,"7-4",7.2,7.1
"294",1986,"7-5",6.8,7.2
"295",1986,"7-6",7.1,7.4
"296",1986,"7-7",6.9,7.4
"297",1986,"7-8",7.3,7.7
"298",1986,"7-9",7.2,7.8
"299",1986,"7-10",6.8,7.8
"300",1986,"7-11",7.8,7.8
"301",1986,"7-12",8.1,8.3
"302",1986,"7-13",6.1,8.2
"303",1986,"7-14",7.5,8.2
"304",1986,"7-15",7.9,8.4
"305",1986,"7-16",7.8,8.3
"306",1986,"7-17",8.3,8.5
"307",1986,"7-18",9.4,8
"308",1986,"7-19",8.1,7.6
"309",1986,"7-20",7.6,8.1
"310",1986,"7-21",7.8,8.2
"311",1986,"7-22",6.7,8
"312",1986,"7-23",6.1,8.4
"313",1986,"7-24",7,8.9
"314",1986,"7-25",7.6,9.1
"315",1986,"7-26",9,9.4
"316",1986,"7-27",7.3,9.3
"317",1986,"7-28",8.7,9.4
"318",1986,"7-29",7.6,9.6
"319",1986,"7-30",8.9,8.9
"320",1986,"7-31",8.5,8.3
"321",1986,"8-1",7.6,8.8
"322",1986,"8-2",7.6,8.6
"323",1986,"8-3",7.7,8.4
"324",1986,"8-4",7.6,8.3
"325",1986,"8-5",8.2,8.4
"326",1986,"8-6",8.2,8.3
"327",1986,"8-7",7.8,8.5
"328",1986,"8-8",8.1,8.5
"329",1986,"8-9",8.3,8.7
"330",1986,"8-10",8.2,9.1
"331",1986,"8-11",8.6,8.8
"332",1986,"8-12",8.9,9
"333",1986,"8-13",9.5,9.1
"334",1986,"8-14",9.4,8.7
"335",1986,"8-15",9,8.5
"336",1986,"8-16",9.2,8.6
